Mark Harrigan: The Soldier	 Guardian		Investigator		Veteran.	The Path to Carcosa 1	
Armor of Ardennes (5)	 Guardian	4	Asset	   	Item. Armor. Relic.	Dim Carcosa 305	
Eidetic Memory (3)	 Seeker		Event	 	Spirit.	Dim Carcosa 306	
No Stone Unturned (5)	 Seeker	2	Event	 	Insight.	Dim Carcosa 307	
Charon's Obol: The Ferryman's Pay (1)	 Rogue		Asset		Item. Relic.	Dim Carcosa 308	
Lupara (3)	 Rogue	3	Asset		Item. Weapon. Firearm. Illicit.	Dim Carcosa 309	
Cheat Death (5)	 Rogue	1	Event		Trick. Fated.	Dim Carcosa 310	
Time Warp (2)	 Mystic	1	Event		Spell. Paradox.	Dim Carcosa 311	
Seal of the Elder Sign (5)	 Mystic		Skill		Spell. Expert.	Dim Carcosa 312	
Newspaper (2)	 Survivor	1	Asset	 	Item.	Dim Carcosa 313	
Infighting (3)	 Survivor	1	Event	   	Trick.	Dim Carcosa 314	
Key of Ys: Let the Storm Rage (5)	Neutral	3	Asset	 	Item. Relic.	Dim Carcosa 315	
Dim Carcosa	Mythos		Scenario			Dim Carcosa 316	Dim Carcosa 1
Madness Coils	Mythos		Agenda			Dim Carcosa 317	Dim Carcosa 2
Madness Drowns	Mythos		Agenda			Dim Carcosa 318	Dim Carcosa 3
Madness Dies	Mythos		Agenda			Dim Carcosa 319	Dim Carcosa 4
In Lost Carcosa	Mythos		Act			Dim Carcosa 320	Dim Carcosa 5
Search For the Stranger (v.I)	Mythos		Act			Dim Carcosa 321	Dim Carcosa 6
Search For the Stranger (v.II)	Mythos		Act			Dim Carcosa 322	Dim Carcosa 7
Search For the Stranger (v.III)	Mythos		Act			Dim Carcosa 323	Dim Carcosa 8
The King in Tatters	Mythos		Act			Dim Carcosa 324	Dim Carcosa 9
Shores of Hali	Mythos		Location		Otherworld.	Dim Carcosa 325	Dim Carcosa 10
Bleak Plains	Mythos		Location		Otherworld.	Dim Carcosa 326	Dim Carcosa 11
Bleak Plains	Mythos		Location		Otherworld.	Dim Carcosa 326	Dim Carcosa 12
Ruins of Carcosa	Mythos		Location		Otherworld.	Dim Carcosa 327	Dim Carcosa 13
Ruins of Carcosa	Mythos		Location		Otherworld.	Dim Carcosa 327	Dim Carcosa 14
Ruins of Carcosa	Mythos		Location		Otherworld.	Dim Carcosa 327	Dim Carcosa 15
Dim Streets	Mythos		Location		Otherworld.	Dim Carcosa 328	Dim Carcosa 16
Dim Streets	Mythos		Location		Otherworld.	Dim Carcosa 328	Dim Carcosa 17
Dim Streets	Mythos		Location		Otherworld.	Dim Carcosa 328	Dim Carcosa 18
Depths of Demhe	Mythos		Location		Otherworld.	Dim Carcosa 329	Dim Carcosa 19
Depths of Demhe	Mythos		Location		Otherworld.	Dim Carcosa 329	Dim Carcosa 20
Dark Spires	Mythos		Location		Otherworld.	Dim Carcosa 330	Dim Carcosa 21
Palace of the King	Mythos		Location		Otherworld.	Dim Carcosa 331	Dim Carcosa 22
Hastur: The King in Yellow	Mythos		Enemy		Ancient One. Elite.	Dim Carcosa 332	Dim Carcosa 23
Hastur: Lord of Carcosa	Mythos		Enemy		Ancient One. Elite.	Dim Carcosa 333	Dim Carcosa 24
Hastur: The Tattered King	Mythos		Enemy		Ancient One. Elite.	Dim Carcosa 334	Dim Carcosa 25
Creature Out of Demhe	Mythos		Enemy		Monster.	Dim Carcosa 335	Dim Carcosa 26
Winged One	Mythos		Enemy		Monster. Byakhee.	Dim Carcosa 336	Dim Carcosa 27
Dismal Curse	Mythos		Treachery		Curse. Terror.	Dim Carcosa 337	Dim Carcosa 28-30
Realm of Madness	Mythos		Treachery		Terror.	Dim Carcosa 338	Dim Carcosa 31-32
The Final Act	Mythos		Treachery		Terror.	Dim Carcosa 339	Dim Carcosa 33
Possession (Traitorous)	Mythos		Treachery		Hex. Terror.	Dim Carcosa 340	Dim Carcosa 34
Possession (Torturous)	Mythos		Treachery		Hex. Terror.	Dim Carcosa 341	Dim Carcosa 35
Possession (Murderous)	Mythos		Treachery		Hex. Terror.	Dim Carcosa 342	Dim Carcosa 36
